Symbol,Company Name,Sector,Industry,Price,Market_Cap,IPO_Date,Exchange
LEU,Centrus Energy Corp.,Energy,Uranium,210.96,3996714200,1998-07-23,NYSE
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,"Gambling, Resorts & Casinos",12.49,1018849893,2017-08-24,NYSE
AEE,Ameren Corporation,Utilities,Regulated Electric,113.65,31441613450,1998-01-02,NYSE
AEG,Aegon Ltd.,Financial Services,Insurance - Diversified,8.23,12448084058,1985-06-28,NYSE
LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,Consumer Defensive,Agricultural Farm Products,3.81,379534891,2012-05-15,NYSE
MAGN,Magnera Corp.,Industrials,Manufacturing - Textiles,9.98,355288000,2004-02-06,NYSE
MFG,"Mizuho Financial Group, Inc.",Financial Services,Banks - Regional,8.6,106217403783,2006-11-08,NYSE
MIR,"Mirion Technologies, Inc.",Industrials,Industrial - Machinery,19.75,4826801250,2020-08-20,NYSE
OTIS,Otis Worldwide Corporation,Industrials,Industrial - Machinery,77.88,29883807999,2020-03-19,NYSE
CNA,CNA Financial Corporation,Financial Services,Insurance - Property & Casualty,48.23,13054576732,1969-02-03,NYSE
EC,Ecopetrol S.A.,Energy,Oil & Gas Integrated,14.16,29110619862,2008-09-18,NYSE
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,172.71,217471153982,2014-06-06,NYSE
FBP,First BanCorp.,Financial Services,Banks - Regional,24.28,3780784480,1987-01-13,NYSE
IH,iHuman Inc.,Consumer Defensive,Education & Training Services,1.7,17474618,2020-10-09,NYSE
AROC,"Archrock, Inc.",Energy,Oil & Gas Equipment & Services,38.75,6790852715,2007-08-21,NYSE
PUK,Prudential plc,Financial Services,Insurance - Life,30.23,38269471370,2000-06-29,NYSE
LEVI,Levi Strauss & Co.,Consumer Cyclical,Apparel - Manufacturers,22.28,8774927402,2019-03-21,NYSE
LVS,Las Vegas Sands Corp.,Consumer Cyclical,"Gambling, Resorts & Casinos",54.61,36186625028,2004-12-15,NYSE
MYE,"Myers Industries, Inc.",Consumer Cyclical,Packaging & Containers,20.61,770880550,1980-03-17,NYSE
RSI,"Rush Street Interactive, Inc.",Consumer Cyclical,"Gambling, Resorts & Casinos",28.1,6683279750,2020-04-27,NYSE
RYN,Rayonier Inc.,Real Estate,REIT - Specialty,21.21,3281995101,1994-02-17,NYSE
SSL,Sasol Limited,Basic Materials,Chemicals - Specialty,13.82,8810770876,1982-04-26,NYSE
ETSY,"Etsy, Inc.",Consumer Cyclical,Specialty Retail,64.34,6192544848,2015-04-16,NYSE
AVNT,Avient Corporation,Basic Materials,Chemicals - Specialty,37.08,3400599829,1999-09-13,NYSE
AG,First Majestic Silver Corp.,Basic Materials,Silver,19.71,9719735966,2006-11-28,NYSE
BAX,Baxter International Inc.,Healthcare,Medical - Instruments & Supplies,17.58,9075719196,1981-10-27,NYSE
ACM,Aecom,Industrials,Engineering & Construction,84.1,10873204816,2007-05-10,NYSE
CMC,Commercial Metals Company,Basic Materials,Steel,68.96,7646794001,1980-03-17,NYSE
GFF,Griffon Corporation,Industrials,Conglomerates,91.17,4246623202,1973-05-03,NYSE
CAH,"Cardinal Health, Inc.",Healthcare,Medical - Distribution,192.88,45387753166,1983-08-04,NYSE
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",105.56,6460029212,1992-04-01,NYSE
BWLP,BW LPG Limited,Industrials,Marine Shipping,19.94,3017772501,2014-01-28,NYSE
CE,Celanese Corporation,Basic Materials,Chemicals,67.76,7583886082,2005-01-21,NYSE
HMC,"Honda Motor Co., Ltd.",Consumer Cyclical,Auto - Manufacturers,24.34,31581573857,1980-03-17,NYSE
WEC,"WEC Energy Group, Inc.",Utilities,Regulated Electric,117.94,38413011768,1980-03-17,NYSE
APOS,"Apollo Global Management, Inc.",Financial Services,Asset Management,25.7,14860947900,2023-08-29,NYSE
CRH,CRH plc,Basic Materials,Construction Materials,118.42,79128281421,1989-07-13,NYSE
AESI,Atlas Energy Solutions Inc.,Energy,Oil & Gas Equipment & Services,17.38,2170191067,2023-03-09,NYSE
MBC,"MasterBrand, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",8.98,1145285583,2022-12-09,NYSE
AX,"Axos Financial, Inc.",Financial Services,Banks - Regional,96.44,5466050334,2005-03-16,NYSE
CIM,Chimera Investment Corporation,Real Estate,REIT - Mortgage,13.75,1146784375,2007-11-29,NYSE
STN,Stantec Inc.,Industrials,Engineering & Construction,91.3,10414316644,2005-08-05,NYSE
LTC,"LTC Properties, Inc.",Real Estate,REIT - Healthcare Facilities,38.22,1892169006,1992-08-18,NYSE
WHG,"Westwood Holdings Group, Inc.",Financial Services,Financial - Capital Markets,16.44,155924687,2002-06-13,NYSE
NVRI,Enviri Corporation,Industrials,Waste Management,19.69,1628451605,1980-03-17,NYSE
VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",Real Estate,Real Estate - Development,35.6,3011823831,2023-06-30,NYSE
WKC,World Kinect Corporation,Energy,Oil & Gas Refining & Marketing,26.97,1385057835,1986-08-28,NYSE
LU,Lufax Holding Ltd,Financial Services,Financial - Credit Services,1.91,800381304,2020-10-30,NYSE
GRDN,"Guardian Pharmacy Services, Inc.",Healthcare,Medical - Distribution,37.1,2349869591,2016-04-21,NYSE
GSBD,"Goldman Sachs BDC, Inc.",Financial Services,Asset Management,9.83,1106553929,2015-03-18,NYSE
LVWR,"LiveWire Group, Inc.",Consumer Cyclical,Auto - Manufacturers,1.82,372666525,2020-11-24,NYSE
IX,ORIX Corporation,Financial Services,Financial - Credit Services,33.61,37314262896,1998-09-16,NYSE
KD,"Kyndryl Holdings, Inc.",Technology,Information Technology Services,13.82,3115680290,2021-10-22,NYSE
KVYO,"Klaviyo, Inc.",Technology,Software - Infrastructure,20.09,6122878902,2023-09-20,NYSE
ADCT,ADC Therapeutics S.A.,Healthcare,Biotechnology,3.78,480776567,2020-05-18,NYSE
PACS,"PACS Group, Inc.",Financial Services,Financial - Conglomerates,33.55,5272886421,2024-04-11,NYSE
BKH,Black Hills Corporation,Utilities,Diversified Utilities,75.29,5726158363,1973-02-22,NYSE
ESAB,ESAB Corporation,Industrials,Manufacturing - Metal Fabrication,98.27,5982827069,2022-03-29,NYSE
MMS,"Maximus, Inc.",Industrials,Specialty Business Services,65.62,3579477557,1997-06-13,NYSE
MP,MP Materials Corp.,Basic Materials,Industrial Materials,66.04,11733128680,2020-06-22,NYSE
MRSH,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance - Brokers,167.71,80801839450,1987-12-30,NYSE
MSCI,MSCI Inc.,Financial Services,Financial - Data & Stock Exchanges,591.41,43054648000,2007-11-15,NYSE
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,439.03,72968371337,1980-03-17,NYSE
MSM,"MSC Industrial Direct Co., Inc.",Industrials,Industrial - Distribution,102.27,5710173861,1995-12-15,NYSE
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,218.63,32575870000,1980-03-17,NYSE
MTG,MGIC Investment Corporation,Financial Services,Insurance - Specialty,26.48,5737342451,1991-08-07,NYSE
MTH,Meritage Homes Corporation,Consumer Cyclical,Residential Construction,67.34,4498356377,1988-07-26,NYSE
MTN,"Vail Resorts, Inc.",Consumer Cyclical,"Gambling, Resorts & Casinos",127.18,4531817658,1997-02-04,NYSE
MTW,"The Manitowoc Company, Inc.",Industrials,Agricultural - Machinery,13.59,487993090,1990-03-26,NYSE
NFG,National Fuel Gas Company,Energy,Oil & Gas Integrated,84.38,8018327632,1973-05-03,NYSE
NGS,"Natural Gas Services Group, Inc.",Energy,Oil & Gas Equipment & Services,40.69,512189444,2002-10-22,NYSE
NGVT,Ingevity Corporation,Basic Materials,Chemicals - Specialty,76.19,2683605170,2016-05-03,NYSE
NKE,"NIKE, Inc.",Consumer Cyclical,Apparel - Footwear & Accessories,44.36,65580737402,1980-12-02,NYSE
NRGV,"Energy Vault Holdings, Inc.",Utilities,Renewable Utilities,4.61,797414750,2021-03-29,NYSE
NVT,nVent Electric plc,Industrials,Electrical Equipment & Parts,142.9,23106686927,2018-04-24,NYSE
NWG,NatWest Group plc,Financial Services,Banks - Diversified,15.91,31677327075,2007-10-18,NYSE
ODC,Oil-Dri Corporation of America,Basic Materials,Chemicals - Specialty,72.95,1015414467,1980-03-19,NYSE
ONON,On Holding AG,Consumer Cyclical,Apparel - Retail,35.61,11786822649,2021-09-15,NYSE
OOMA,"Ooma, Inc.",Communication Services,Telecommunications Services,16.32,448959936,2015-07-20,NYSE
OPLN,"OPENLANE, Inc.",Consumer Cyclical,Auto - Dealerships,31.44,3341977680,2009-12-11,NYSE
OVV,Ovintiv Inc.,Energy,Oil & Gas Exploration & Production,61.55,17439269250,2002-04-08,NYSE
PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",Industrials,"Airlines, Airports & Air Services",251.87,12726409028,2006-02-27,NYSE
PATH,UiPath Inc.,Technology,Software - Infrastructure,10.3,5542563282,2021-04-21,NYSE
PB,"Prosperity Bancshares, Inc.",Financial Services,Banks - Regional,69.65,7068710800,1998-11-12,NYSE
PCG,PG&E Corporation,Utilities,Regulated Electric,16.62,36600896400,1972-06-01,NYSE
PSO,Pearson plc,Communication Services,Publishing,14.68,8898430121,1996-11-18,NYSE
RBA,"RB Global, Inc.",Industrials,Specialty Business Services,104.3,19391969990,1998-03-10,NYSE
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel - Manufacturers,358.64,21748164868,1997-06-12,NYSE
ROG,Rogers Corporation,Technology,"Hardware, Equipment & Parts",135.75,2421169125,1980-03-17,NYSE
SBH,"Sally Beauty Holdings, Inc.",Consumer Cyclical,Specialty Retail,14.18,1393418857,2006-11-17,NYSE
SES,SES AI Corporation,Consumer Cyclical,Auto - Parts,1.05,382638717,2021-03-01,NYSE
SHEL,Shell plc,Energy,Oil & Gas Integrated,90.67,256668978189,1994-10-31,NYSE
SHG,"Shinhan Financial Group Co., Ltd.",Financial Services,Banks - Regional,68.84,34305562793,2003-09-17,NYSE
SKM,"SK Telecom Co.,Ltd",Communication Services,Telecommunications Services,37.41,14357411889,1996-06-27,NYSE
SLVM,Sylvamo Corporation,Basic Materials,"Paper, Lumber & Forest Products",42.73,1697892659,2021-09-23,NYSE
SMG,The Scotts Miracle-Gro Company,Basic Materials,Agricultural Inputs,62.7,3639092513,1992-01-31,NYSE
SOJD,Southern Company (The) Series 2,Utilities,Regulated Electric,19.97,22354218300,2020-01-14,NYSE
SONY,Sony Group Corporation,Technology,Consumer Electronics,20.09,119898596615,1958-12-01,NYSE
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,203.71,66173194290,1993-12-14,NYSE
SPGI,S&P Global Inc.,Financial Services,Financial - Data & Stock Exchanges,431.23,127644080000,2016-04-28,NYSE
SSD,"Simpson Manufacturing Co., Inc.",Industrials,Construction,190.73,7896610326,1994-05-26,NYSE
STEM,"Stem, Inc.",Technology,Software - Infrastructure,10.7,91152979,2020-10-08,NYSE
STT,State Street Corporation,Financial Services,Asset Management,152.84,42600821603,1980-03-17,NYSE
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,156.58,26962835650,1992-03-17,NYSE
SWX,"Southwest Gas Holdings, Inc.",Utilities,Regulated Gas,94.05,6805890630,1972-06-01,NYSE
SXI,Standex International Corporation,Industrials,Industrial - Machinery,273.0,3308405100,1969-11-06,NYSE
TBN,Tamboran Resources Corp,Energy,Oil & Gas Exploration & Production,36.1,817286744,2007-11-27,NYSE
TDS,"Telephone and Data Systems, Inc.",Communication Services,Telecommunications Services,45.06,4790003672,1981-12-15,NYSE
TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,145.04,29682401190,2000-10-06,NYSE
TRU,TransUnion,Industrials,Consulting Services,71.0,13688800213,2015-06-25,NYSE
TTI,"TETRA Technologies, Inc.",Energy,Oil & Gas Equipment & Services,9.52,1287998880,1990-04-03,NYSE
TY,Tri-Continental Corporation,Financial Services,Asset Management,34.16,1774991176,1980-03-17,NYSE
UNF,UniFirst Corporation,Industrials,Specialty Business Services,255.51,4672392558,1984-01-16,NYSE
VIK,Viking Holdings Ltd,Consumer Cyclical,Travel Services,81.91,36327937110,2010-06-14,NYSE
VIRT,"Virtu Financial, Inc.",Financial Services,Financial - Capital Markets,49.66,10494074674,2015-04-16,NYSE
VMI,"Valmont Industries, Inc.",Industrials,Conglomerates,508.04,9930766093,1990-03-26,NYSE
VZ,Verizon Communications Inc.,Communication Services,Telecommunications Services,48.03,202575170400,1983-11-21,NYSE
WLK,Westlake Corporation,Basic Materials,Chemicals - Specialty,115.28,14765464727,2004-08-12,NYSE
WLY,"John Wiley & Sons, Inc.",Communication Services,Publishing,40.93,2173455610,1972-06-02,NYSE
WM,"Waste Management, Inc.",Industrials,Waste Management,232.55,93697418150,1988-06-22,NYSE
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,76.31,93316214007,1981-12-31,NYSE
WNC,Wabash National Corporation,Industrials,Agricultural - Machinery,8.69,353456773,1991-11-08,NYSE
WPC,W. P. Carey Inc.,Real Estate,REIT - Diversified,72.93,15992673840,1998-01-21,NYSE
WS,"Worthington Steel, Inc.",Basic Materials,Steel,38.43,1952487531,2023-12-04,NYSE
YOU,"Clear Secure, Inc.",Technology,Software - Application,53.39,5282604143,2021-06-30,NYSE
AOMR,"Angel Oak Mortgage, Inc.",Real Estate,REIT - Mortgage,9.07,225975422,2021-06-17,NYSE
BBUC,Brookfield Business Corporation,Financial Services,Asset Management,34.1,2350093365,2022-03-07,NYSE
BCS,Barclays PLC,Financial Services,Banks - Diversified,23.41,80337340539,1986-09-09,NYSE
BDX,"Becton, Dickinson and Company",Healthcare,Medical - Instruments & Supplies,149.04,53996461853,1973-02-21,NYSE
BHVN,Biohaven Ltd.,Healthcare,Biotechnology,9.59,1015248553,2022-09-23,NYSE
BIPI,BIP Bermuda Holdings I Limited,Industrials,Specialty Business Services,16.35,12997618792,2022-01-26,NYSE
BLCO,Bausch + Lomb Corporation,Healthcare,Medical - Instruments & Supplies,15.9,5633659380,2022-05-06,NYSE
BLK,"BlackRock, Inc.",Financial Services,Asset Management,1065.6,165556944000,1999-10-01,NYSE
BNED,"Barnes & Noble Education, Inc.",Consumer Cyclical,Specialty Retail,9.86,338159546,2015-07-23,NYSE
BRC,Brady Corporation,Industrials,Security & Protection Services,81.82,3864198151,1986-10-31,NYSE
BROS,Dutch Bros Inc.,Consumer Cyclical,Restaurants,57.51,9966995069,2021-09-15,NYSE
BXP,"BXP, Inc.",Real Estate,REIT - Office,58.46,9276196739,1997-06-18,NYSE
CMP,"Compass Minerals International, Inc.",Basic Materials,Industrial Materials,26.71,1118168022,2003-12-12,NYSE
CNP,"CenterPoint Energy, Inc.",Utilities,Regulated Electric,43.65,28554497802,1970-01-02,NYSE
CR,Crane Company,Industrials,Industrial - Machinery,177.73,10262817304,2023-03-29,NYSE
CRM,"Salesforce, Inc.",Technology,Software - Application,176.53,167701675033,2004-06-23,NYSE
CURV,Torrid Holdings Inc.,Consumer Cyclical,Apparel - Retail,1.72,170824552,2021-07-01,NYSE
DHR,Danaher Corporation,Healthcare,Medical - Diagnostics & Research,178.95,126655553702,1978-12-29,NYSE
DOLE,Dole plc,Consumer Defensive,Agricultural Farm Products,15.18,1444598628,2021-07-30,NYSE
ELF,"e.l.f. Beauty, Inc.",Consumer Defensive,Household & Personal Products,63.97,3777571729,2016-09-22,NYSE
EMA,Emera Incorporated,Utilities,Regulated Electric,53.42,16186260000,2010-01-05,NYSE
EQR,Equity Residential,Real Estate,REIT - Residential,65.38,24496251500,1993-08-12,NYSE
EVH,"Evolent Health, Inc.",Healthcare,Medical - Healthcare Information Services,3.75,418642500,2015-06-05,NYSE
FF,FutureFuel Corp.,Basic Materials,Chemicals,4.98,218440230,2011-03-23,NYSE
FTV,Fortive Corporation,Technology,"Hardware, Equipment & Parts",59.79,18406900970,2016-07-05,NYSE
GBTG,"Global Business Travel Group, Inc.",Technology,Software - Application,5.86,3066789974,2022-08-18,NYSE
GEV,GE Vernova Inc.,Utilities,Renewable Utilities,1083.46,291147371200,2024-03-27,NYSE
GROV,"Grove Collaborative Holdings, Inc.",Consumer Defensive,Household & Personal Products,1.11,46646299,2021-05-13,NYSE
GSK,GSK plc,Healthcare,Drug Manufacturers - General,52.31,104895959313,1980-03-28,NYSE
HGV,Hilton Grand Vacations Inc.,Consumer Cyclical,"Gambling, Resorts & Casinos",46.97,3824484669,2017-01-04,NYSE
HLI,"Houlihan Lokey, Inc.",Financial Services,Financial - Capital Markets,154.75,10799298852,2015-08-13,NYSE
HLLY,Holley Inc.,Consumer Cyclical,Auto - Parts,3.3,395497856,2020-11-27,NYSE
HPQ,HP Inc.,Technology,Computer Hardware,20.86,19149155877,1957-11-06,NYSE
HRB,"H&R Block, Inc.",Consumer Cyclical,Personal Products & Services,31.73,4022086487,1962-02-13,NYSE
HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,508.17,27015130780,1972-06-05,NYSE
IBM,International Business Machines Corporation,Technology,Information Technology Services,230.98,217094637300,1915-09-24,NYSE
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,REIT - Industrial,54.25,1526372575,2016-12-01,NYSE
IMAX,IMAX Corporation,Communication Services,Entertainment,38.02,2052813860,1994-06-10,NYSE
INFY,Infosys Limited,Technology,Information Technology Services,12.46,50533025200,1999-03-11,NYSE
MET,"MetLife, Inc.",Financial Services,Insurance - Life,80.1,52229525400,2000-04-05,NYSE
KB,KB Financial Group Inc.,Financial Services,Banks - Regional,111.22,39448372222,2001-11-13,NYSE
KEX,Kirby Corporation,Industrials,Marine Shipping,150.54,8072105340,1980-03-17,NYSE
KEY,KeyCorp,Financial Services,Banks - Regional,22.11,24040048230,1987-11-05,NYSE
KNX,Knight-Swift Transportation Holdings Inc.,Industrials,Trucking,64.9,10543515179,1994-10-25,NYSE
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,78.76,338994854000,1919-09-05,NYSE
LAC,Lithium Americas Corp.,Basic Materials,Industrial Materials,5.73,1279386550,2008-09-18,NYSE
LAR,Lithium Argentina AG,Basic Materials,Industrial Materials,10.17,1651678214,2007-12-17,NYSE
LAW,"CS Disco, Inc.",Technology,Software - Application,4.33,274214570,2021-07-21,NYSE
LBRT,Liberty Energy Inc.,Energy,Oil & Gas Equipment & Services,33.79,5514237947,2018-01-11,NYSE
KT,KT Corporation,Communication Services,Telecommunications Services,21.43,10333347901,1999-05-26,NYSE
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,320.55,59874218642,1981-12-31,NYSE
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,149.22,18860317799,2006-10-17,NYSE
LPX,Louisiana-Pacific Corporation,Basic Materials,"Paper, Lumber & Forest Products",72.19,5042355996,1980-03-17,NYSE
LOAR,Loar Holdings Inc.,Industrials,Aerospace & Defense,56.12,5254205256,2024-04-25,NYSE
MFC,Manulife Financial Corporation,Financial Services,Insurance - Life,39.29,65879114600,1999-09-24,NYSE
MG,"Mistras Group, Inc.",Industrials,Security & Protection Services,18.88,600698918,2009-10-08,NYSE
MDU,"MDU Resources Group, Inc.",Industrials,Conglomerates,22.53,4612026180,1987-11-05,NYSE
MGRE,"Affiliated Managers Group, Inc.",Financial Services,Asset Management,23.96,639365412,2024-03-27,NYSE
DXYZ,Destiny Tech100 Inc.,Financial Services,Asset Management,32.56,354249707,2024-03-26,NYSE
SFL,SFL Corporation Ltd.,Industrials,Marine Shipping,11.53,1531389061,2004-06-17,NYSE
SRE,Sempra,Utilities,Diversified Utilities,95.12,62144991776,1998-06-29,NYSE
SA,Seabridge Gold Inc.,Basic Materials,Gold,27.95,3001075350,2004-04-20,NYSE
TG,Tredegar Corporation,Industrials,Manufacturing - Metal Fabrication,9.6,333667200,1989-07-05,NYSE
PVH,PVH Corp.,Consumer Cyclical,Apparel - Manufacturers,91.44,4189006120,1980-03-17,NYSE
NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,20.46,7342868940,1996-10-29,NYSE
TEL,TE Connectivity Ltd.,Technology,"Hardware, Equipment & Parts",211.66,61782707360,2007-06-14,NYSE
LUV,Southwest Airlines Co.,Industrials,"Airlines, Airports & Air Services",37.92,18534310080,1980-01-02,NYSE
PBH,Prestige Consumer Healthcare Inc.,Healthcare,Medical - Distribution,56.32,2664990874,2005-02-10,NYSE
PBI,Pitney Bowes Inc.,Industrials,Integrated Freight & Logistics,15.46,2653009713,1972-06-01,NYSE
TCI,"Transcontinental Realty Investors, Inc.",Real Estate,Real Estate - Services,35.42,306004573,1985-03-07,NYSE
KRC,Kilroy Realty Corporation,Real Estate,REIT - Office,33.26,3867439540,1997-01-29,NYSE
CAVA,"CAVA Group, Inc.",Consumer Cyclical,Restaurants,93.41,10874080322,2023-06-16,NYSE
VVV,Valvoline Inc.,Energy,Oil & Gas Refining & Marketing,33.23,4230704898,2016-09-23,NYSE
XRN,Chiron Real Estate Inc.,Financial Services,REIT - Industrial,35.07,469220468,2016-06-19,NYSE
PII,Polaris Inc.,Consumer Cyclical,Auto - Recreational Vehicles,66.27,3751935693,1987-09-16,NYSE
AGBK,AGI Inc,Financial Services,Banks - Regional,7.09,1133916802,2011-05-12,NYSE
NI,NiSource Inc.,Utilities,Regulated Gas,48.28,23103581496,1962-12-16,NYSE
UA,"Under Armour, Inc.",Consumer Cyclical,Apparel - Manufacturers,6.07,2594318692,2016-03-23,NYSE
UL,Unilever PLC,Consumer Defensive,Household & Personal Products,58.98,128883685800,1980-03-25,NYSE
GOLF,Acushnet Holdings Corp.,Consumer Cyclical,Leisure,96.82,5669207962,2016-10-28,NYSE
GRBK,"Green Brick Partners, Inc.",Consumer Cyclical,Residential Construction,67.44,2910528312,2007-06-20,NYSE
JEF,Jefferies Financial Group Inc.,Financial Services,Financial - Capital Markets,48.22,9857725844,1980-03-17,NYSE
ASAN,"Asana, Inc.",Technology,Software - Application,6.32,1496823605,2020-09-30,NYSE
SAFE,Safehold Inc.,Real Estate,REIT - Diversified,16.02,1150642908,1989-11-16,NYSE
ASIX,AdvanSix Inc.,Basic Materials,Chemicals,24.66,662685714,2016-09-15,NYSE
ATR,"AptarGroup, Inc.",Healthcare,Medical - Instruments & Supplies,123.68,7962485501,1993-04-23,NYSE
ATS,ATS Corporation,Industrials,Industrial - Machinery,32.45,3182040510,2009-12-29,NYSE
ARL,"American Realty Investors, Inc.",Real Estate,Real Estate - Development,14.16,228712929,1982-04-21,NYSE
ARW,"Arrow Electronics, Inc.",Technology,Technology Distributors,187.83,9595126503,1980-03-17,NYSE
ESTC,Elastic N.V.,Technology,Software - Application,46.43,4805551801,2018-10-05,NYSE
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,188.21,94291228149,1972-06-01,NYSE
AMBP,Ardagh Metal Packaging S.A.,Consumer Cyclical,Packaging & Containers,3.85,2301143406,2021-08-05,NYSE
CABO,"Cable One, Inc.",Communication Services,Telecommunications Services,91.49,518947748,2015-06-11,NYSE
CDRE,"Cadre Holdings, Inc.",Industrials,Aerospace & Defense,29.65,1266843690,2021-11-04,NYSE
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,124.2,19079161103,2005-08-11,NYSE
STM,STMicroelectronics N.V.,Technology,Semiconductors,55.14,49008108328,1994-12-08,NYSE
SMRT,"SmartRent, Inc.",Technology,Software - Application,1.36,261470804,2021-08-25,NYSE
EGP,"EastGroup Properties, Inc.",Real Estate,REIT - Industrial,201.2,10815546240,1983-10-21,NYSE
ENIC,Enel Chile S.A.,Utilities,Regulated Electric,4.53,6266490082,2016-04-21,NYSE
ELS,"Equity LifeStyle Properties, Inc.",Real Estate,REIT - Residential,63.29,12273703120,1993-02-25,NYSE
BHC,Bausch Health Companies Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,5.72,2136211729,1994-03-29,NYSE
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,61.08,16256628783,1972-07-13,NYSE
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,727.77,109206779114,1998-02-12,NYSE
CNC,Centene Corporation,Healthcare,Medical - Healthcare Plans,53.69,26511960017,2001-12-13,NYSE
CLF,Cleveland-Cliffs Inc.,Basic Materials,Steel,10.2,5818229073,1987-11-05,NYSE
AIZN,"Assurant, Inc. 5.25% Subordinat",Financial Services,Insurance - Diversified,19.58,973122084,2020-11-25,NYSE
OPTU,"Optimum Communications, Inc.",Communication Services,Telecommunications Services,1.58,739105748,2017-06-22,NYSE
MHO,"M/I Homes, Inc.",Consumer Cyclical,Residential Construction,131.49,3388196188,1993-11-03,NYSE
VHI,"Valhi, Inc.",Basic Materials,Chemicals,15.05,425949510,1980-03-17,NYSE
CAT,Caterpillar Inc.,Industrials,Agricultural - Machinery,890.11,414156907087,1929-12-02,NYSE
LION,Lionsgate Studios Corp.,Communication Services,Entertainment,12.44,3609929514,2022-03-01,NYSE
LDI,"loanDepot, Inc.",Financial Services,Financial - Mortgages,1.55,519294553,2021-02-11,NYSE
ALTG,Alta Equipment Group Inc.,Industrials,Rental & Leasing Services,7.75,252124318,2019-04-25,NYSE
DKS,"DICK'S Sporting Goods, Inc.",Consumer Cyclical,Specialty Retail,226.92,18865018707,2002-10-16,NYSE
ARI,"Apollo Commercial Real Estate Finance, Inc.",Real Estate,REIT - Mortgage,10.94,1453379000,2009-09-24,NYSE
BMA,Banco Macro S.A.,Financial Services,Banks - Regional,72.0,4603776840,2006-03-27,NYSE
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,88.78,38740692978,1998-08-18,NYSE
LTH,"Life Time Group Holdings, Inc.",Consumer Cyclical,Leisure,26.81,5946594195,2021-10-07,NYSE
WBS,Webster Financial Corporation,Financial Services,Banks - Regional,72.36,11724563160,1986-12-12,NYSE
WOLF,"Wolfspeed, Inc.",Technology,Semiconductors,29.53,1331466653,1993-02-08,NYSE
EE,"Excelerate Energy, Inc.",Utilities,Renewable Utilities,34.9,4049665928,2022-04-13,NYSE
WK,Workiva Inc.,Technology,Software - Application,53.48,3039516547,2014-12-12,NYSE
EFXT,Enerflex Ltd.,Energy,Oil & Gas Equipment & Services,26.82,3266729640,2011-06-13,NYSE
GETY,"Getty Images Holdings, Inc.",Communication Services,Internet Content & Information,0.77,321679820,2020-09-21,NYSE
LXU,"LSB Industries, Inc.",Basic Materials,Chemicals,14.9,1070517946,1980-01-02,NYSE
MAIN,Main Street Capital Corporation,Financial Services,Asset Management,55.84,5031452032,2007-10-09,NYSE
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,17.53,33656132739,2023-05-04,NYSE
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,5.74,4304220669,2020-12-18,NYSE
ONTO,Onto Innovation Inc.,Technology,Semiconductors,295.06,14677336879,2019-10-28,NYSE
BRBR,"BellRing Brands, Inc.",Consumer Defensive,Packaged Foods,17.8,2087406000,2019-10-18,NYSE
CNS,"Cohen & Steers, Inc.",Financial Services,Asset Management,70.29,3612477231,2004-08-16,NYSE
DOCS,"Doximity, Inc.",Healthcare,Medical - Healthcare Information Services,24.44,4591257414,2021-06-24,NYSE
MLI,"Mueller Industries, Inc.",Industrials,Manufacturing - Metal Fabrication,135.43,14974630530,1991-02-25,NYSE
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Construction Materials,619.07,37337378317,1994-02-17,NYSE
MNR,Mach Natural Resources LP,Energy,Oil & Gas Exploration & Production,13.8,2321419026,2023-10-25,NYSE
MSGE,Madison Square Garden Entertainment Corp.,Communication Services,Entertainment,66.92,3163515919,2023-05-02,NYSE
